GENOME	ENTROPIES for motif lengths [1 2 3 4 5 6 7]
51410742663964412937093787206919539459	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.257812500000001e+00 3.390625000000000e+00 3.484375000000000e+00 3.500000000000000e+00
93991849034969607182341177900418393467	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.367187500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
246685188281810113614243348379739160899	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.257812500000002e+00 3.406250000000001e+00 3.484375000000000e+00 3.500000000000000e+00
324844621989969211998472817864253964074	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
275451847216655091099524888976275297490	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
51459937475402587249368347392350595129	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
265879983544118583538935080461305088675	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000000e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
183978786343940640650279354236661787164	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
52806141901423390641265376438024461429	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.273437500000003e+00 3.453125000000001e+00 3.492187500000000e+00 3.500000000000000e+00
225505568929985857837669763290669097904	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.445312500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
116915913981558697158902843426788413802	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.390625000000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
174341377978130283945084612289187875143	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.421875000000000e+00 3.484375000000000e+00 3.500000000000000e+00
312888371319995652578586394584766360408	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.429687500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
228634791968345761351519787138015807847	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.460937500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
2211691042121194372577846080955464804	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
158200445494518659783828514737694256530	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
144462691958406891030371119300541691958	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
244765499232504210688049362458554791622	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
2609091696081487151649264734118360983	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
50646943346066124899374666119501387029	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.429687500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
68569193387373864625361608029219662997	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
336402111890859436259316529259117487661	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.453125000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
224164684347573056164966489265727214023	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.406250000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
74925312890757513822139309020796873754	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000002e+00 3.437500000000002e+00 3.484375000000000e+00 3.500000000000000e+00
49495563331774763874870747221425965073	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.421875000000000e+00 3.476562500000000e+00 3.500000000000000e+00
40780467878942565311904950197808594548	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000001e+00 3.421875000000000e+00 3.468750000000000e+00 3.500000000000000e+00
264956977887686901040713038084707375381	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.437500000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
128145467238460332620138526420683987978	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.414062500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
23095800141783846711833992466461500766	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
328888956556955812933043790717836396436	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.273437500000002e+00 3.437500000000001e+00 3.484375000000000e+00 3.500000000000000e+00
174139406492720315997107907219314063684	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.257812500000002e+00 3.437500000000000e+00 3.492187500000000e+00 3.500000000000000e+00
290151615123704430294140259011487153614	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
301756011234578319110372835705019458808	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.414062500000001e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
