GENOME	ENTROPIES for motif lengths [1 2 3 4 5 6 7 8 9]
56475866110826602589992129081901594757	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.203125000000002e+00 3.359375000000001e+00 3.429687500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
104427173651018006136244681296072619749	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.406250000000000e+00 3.445312500000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
127071192133963155599233461868272688578	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.289062500000000e+00 3.437500000000000e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
254021862836107114397544013337286917400	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.304687500000001e+00 3.421875000000000e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
130775322969370893722010851347826704116	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.156250000000003e+00 3.281250000000002e+00 3.382812500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
120420042429281938742263241693584308025	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.164062500000002e+00 3.281250000000001e+00 3.382812500000001e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
194330246139654149060720749941557749786	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.289062500000002e+00 3.406250000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
98436253339034698747389591938797683971	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000000e+00 3.437500000000000e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
212992628788637888368448738923027766569	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.257812500000002e+00 3.406250000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
142001138190038980057850771916716198754	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.265625000000000e+00 3.359375000000001e+00 3.429687500000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
