GENOME	ENTROPIES for motif lengths [1 2 3 4 5]
110041014324038320769603021338185685416	1.000000000000000e+00 2.000000000000000e+00 2.945159765557393e+00 3.437500000000000e+00 3.500000000000000e+00
334164835617955615098867355003572965283	1.000000000000000e+00 2.000000000000000e+00 2.960784765557394e+00 3.484375000000000e+00 3.500000000000000e+00
239012893753728692779960782015174408174	1.000000000000000e+00 2.000000000000000e+00 2.931296972504133e+00 3.335937500000001e+00 3.500000000000000e+00
224849697542598593154371646036943123506	1.000000000000000e+00 2.000000000000000e+00 2.900046972504134e+00 3.367187500000000e+00 3.500000000000000e+00
332473093542524495817021652743045426514	1.000000000000000e+00 2.000000000000000e+00 2.921569531114785e+00 3.359375000000001e+00 3.500000000000000e+00
246613405806799248485962621834439806406	1.000000000000000e+00 2.000000000000000e+00 2.921569531114785e+00 3.406250000000000e+00 3.500000000000000e+00
83980922659601882078144512291227815641	1.000000000000000e+00 2.000000000000000e+00 2.923637206946741e+00 3.421875000000000e+00 3.500000000000000e+00
46640481273547032320508363181805518055	1.000000000000000e+00 2.000000000000000e+00 2.937194531114786e+00 3.414062500000000e+00 3.500000000000000e+00
142525953227335908146433082993538884914	1.000000000000000e+00 2.000000000000000e+00 2.948989648336090e+00 3.414062500000001e+00 3.500000000000000e+00
314003423148739190277299935846907262564	1.000000000000000e+00 2.000000000000000e+00 2.883641773518900e+00 3.335937500000001e+00 3.500000000000000e+00
323955790031965057171426743788419938735	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.453125000000000e+00 3.500000000000000e+00
58261416587524862487125756331027991955	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.390625000000001e+00 3.500000000000000e+00
291967157973137021886013842760776308707	1.000000000000000e+00 2.000000000000000e+00 2.905944531114785e+00 3.298789941389349e+00 3.500000000000000e+00
298145425409088174832692005279417714730	1.000000000000000e+00 2.000000000000000e+00 2.917739648336089e+00 3.359375000000001e+00 3.500000000000000e+00
67018910794645615775667632959418011894	1.000000000000000e+00 2.000000000000000e+00 2.948989648336089e+00 3.382812500000001e+00 3.500000000000000e+00
247100720205866626144060622169933808997	1.000000000000000e+00 2.000000000000000e+00 2.923637206946743e+00 3.406250000000000e+00 3.500000000000000e+00
170922518920734704746204834239783070894	1.000000000000000e+00 2.000000000000000e+00 2.956954882778699e+00 3.484375000000000e+00 3.500000000000000e+00
273812051432044147511556520041789253395	1.000000000000000e+00 2.000000000000000e+00 2.917739648336089e+00 3.361289941389349e+00 3.500000000000000e+00
231451674767392024936122744381678277709	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.398437500000001e+00 3.500000000000000e+00
140004167820367388526967334925282831935	1.000000000000000e+00 2.000000000000000e+00 2.909774413893480e+00 3.353477441389349e+00 3.500000000000000e+00
265457979897196849982016780975733752455	1.000000000000000e+00 2.000000000000000e+00 2.923637206946742e+00 3.406250000000001e+00 3.500000000000000e+00
67012389179247857553424927337024592621	1.000000000000000e+00 2.000000000000000e+00 2.943092089725438e+00 3.429687500000001e+00 3.500000000000000e+00
272951607913442240553512974716760388564	1.000000000000000e+00 2.000000000000000e+00 2.913909765557394e+00 3.359375000000001e+00 3.500000000000000e+00
273260424745614740573827761620371172957	1.000000000000000e+00 2.000000000000000e+00 2.917739648336089e+00 3.359375000000001e+00 3.500000000000000e+00
63577399134556663624847676512413582871	1.000000000000000e+00 2.000000000000000e+00 2.905944531114785e+00 3.414062500000000e+00 3.500000000000000e+00
51590392427881154933001094467351049747	1.000000000000000e+00 2.000000000000000e+00 2.951057324168046e+00 3.414062500000001e+00 3.500000000000000e+00
246474837259188521048890990516628055157	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.375000000000001e+00 3.500000000000000e+00
219172079404907675808944493124394466179	1.000000000000000e+00 2.000000000000000e+00 2.920789332129552e+00 3.375000000000001e+00 3.500000000000000e+00
134772400393771602826954223906117018061	1.000000000000000e+00 2.000000000000000e+00 2.927467089725437e+00 3.406250000000002e+00 3.500000000000000e+00
200909343186195010163257625943661676391	1.000000000000000e+00 2.000000000000000e+00 2.943092089725437e+00 3.445312500000001e+00 3.500000000000000e+00
137729528984572938364059239193267298581	1.000000000000000e+00 2.000000000000000e+00 2.960784765557393e+00 3.468750000000000e+00 3.500000000000000e+00
140658394829565011753852711395229579069	1.000000000000000e+00 2.000000000000000e+00 2.890319531114785e+00 3.328125000000001e+00 3.500000000000000e+00
256573293686732126357940635841440343288	1.000000000000000e+00 2.000000000000000e+00 2.933364648336089e+00 3.382812500000000e+00 3.500000000000000e+00
260968544363054262604405806982316976029	1.000000000000000e+00 2.000000000000000e+00 2.939262206946742e+00 3.437500000000000e+00 3.500000000000000e+00
296367321674571564727317971232170129907	1.000000000000000e+00 2.000000000000000e+00 2.960784765557394e+00 3.476562500000000e+00 3.500000000000000e+00
92578608069007595973533587465564851914	1.000000000000000e+00 2.000000000000000e+00 2.931296972504134e+00 3.367187500000001e+00 3.500000000000000e+00
71894143633385222002028988968995899655	1.000000000000000e+00 2.000000000000000e+00 2.916959449350856e+00 3.406250000000000e+00 3.500000000000000e+00
246637586746629742858322551826547158011	1.000000000000000e+00 2.000000000000000e+00 2.921569531114785e+00 3.367187500000001e+00 3.500000000000000e+00
3113969526354879575385272988538753211	1.000000000000000e+00 2.000000000000000e+00 2.929534765557394e+00 3.376914941389348e+00 3.500000000000000e+00
61464510661662700214117116903785186949	1.000000000000000e+00 2.000000000000000e+00 2.937194531114785e+00 3.382812500000000e+00 3.500000000000000e+00
281561667543837837010104563580763090245	1.000000000000000e+00 2.000000000000000e+00 2.914891773518899e+00 3.343750000000001e+00 3.500000000000000e+00
60573357786034560562953064790601168999	1.000000000000000e+00 2.000000000000000e+00 2.941329882778698e+00 3.445312500000000e+00 3.500000000000000e+00
330159420705756330212382339837500846569	1.000000000000000e+00 2.000000000000000e+00 2.937194531114784e+00 3.382812500000001e+00 3.500000000000000e+00
43683540142294730644661768536226032217	1.000000000000000e+00 2.000000000000000e+00 2.890319531114785e+00 3.390625000000000e+00 3.500000000000000e+00
