GENOME	ENTROPIES for motif lengths [1 2 3 4 5 6 7 8]
88032808876134520127731076481342176205	1.000000000000000e+00 2.000000000000000e+00 2.732001855282828e+00 3.191329882778697e+00 3.406250000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
57724153242299315412205986929665176381	1.000000000000000e+00 2.000000000000000e+00 2.781926539076290e+00 3.173789941389350e+00 3.343750000000001e+00 3.429687500000001e+00 3.484375000000000e+00 3.500000000000000e+00
73919472070951464809527349462343283581	1.000000000000000e+00 2.000000000000000e+00 2.733289332129551e+00 3.136642382778696e+00 3.359375000000000e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
58286637742052241958205845827908669582	1.000000000000000e+00 2.000000000000000e+00 2.728881059341896e+00 3.071294507961509e+00 3.300704882778697e+00 3.429687500000001e+00 3.484375000000000e+00 3.500000000000000e+00
281566933914131867937866451666263798657	1.000000000000000e+00 2.000000000000000e+00 2.723763699716476e+00 3.136642382778698e+00 3.359375000000003e+00 3.453125000000002e+00 3.484375000000000e+00 3.500000000000000e+00
40179823595701184170762573600038281671	1.000000000000000e+00 2.000000000000000e+00 2.640194433997569e+00 3.003677148336089e+00 3.238204882778696e+00 3.400352441389348e+00 3.484375000000000e+00 3.500000000000000e+00
186978036298811677735360419758581000012	1.000000000000000e+00 2.000000000000000e+00 2.779384133144319e+00 3.183517382778699e+00 3.369102441389350e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
295669089241338467532574425246257980220	1.000000000000000e+00 2.000000000000000e+00 2.822903980465638e+00 3.189414941389350e+00 3.343750000000001e+00 3.421875000000000e+00 3.468750000000000e+00 3.500000000000000e+00
80337946779281143417321631755795303799	1.000000000000000e+00 2.000000000000000e+00 2.885709449350857e+00 3.199142382778697e+00 3.353477441389349e+00 3.429687500000000e+00 3.484375000000000e+00 3.500000000000000e+00
145518101042749952983831721317461836754	1.000000000000000e+00 2.000000000000000e+00 2.827819531114784e+00 3.232307324168044e+00 3.400352441389348e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
108739496771886129575385350449669445481	1.000000000000000e+00 2.000000000000000e+00 2.870864648336089e+00 3.261642382778697e+00 3.390625000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
171601299015775794257249313922502321354	1.000000000000000e+00 2.000000000000000e+00 2.813956738061524e+00 3.236289941389349e+00 3.421875000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
78199115095482684734971276145134284901	1.000000000000000e+00 2.000000000000000e+00 2.776334449350855e+00 3.076057324168046e+00 3.290977441389349e+00 3.414062500000001e+00 3.484375000000000e+00 3.500000000000000e+00
43274223447088696189347572049704423094	1.000000000000000e+00 2.000000000000000e+00 2.708717089725437e+00 3.100629566572159e+00 3.328125000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
52456447607870862916322338683084816406	1.000000000000000e+00 2.000000000000000e+00 2.796569531114784e+00 3.206954882778699e+00 3.375000000000002e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
209850313040736076194775391006272751019	1.000000000000000e+00 2.000000000000000e+00 2.811414332129551e+00 3.265625000000003e+00 3.421875000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
250851439696408128724827571170970756537	1.000000000000000e+00 2.000000000000000e+00 2.800399413893480e+00 3.169807324168046e+00 3.390625000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
146556327327674930098064729660684202817	1.000000000000000e+00 2.000000000000000e+00 2.753524413893480e+00 3.093597265557393e+00 3.343750000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
137925504051666378698538109963873263403	1.000000000000000e+00 2.000000000000000e+00 2.776536258327129e+00 3.152267382778698e+00 3.343750000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
283286312535659684258125730115592409717	1.000000000000000e+00 2.000000000000000e+00 2.759421972504132e+00 3.202972265557393e+00 3.390625000000001e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
47561400907104074342489822895044874005	1.000000000000000e+00 2.000000000000000e+00 2.823989648336089e+00 3.226562500000001e+00 3.406250000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
24366887590632011640975961053851114250	1.000000000000000e+00 2.000000000000000e+00 2.900046972504133e+00 3.257812500000001e+00 3.390625000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
218493094826379154838131793211473402910	1.000000000000000e+00 2.000000000000000e+00 2.819074097686943e+00 3.206954882778697e+00 3.400352441389349e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
43085966493890084335124967171634744724	1.000000000000000e+00 2.000000000000000e+00 2.915671972504132e+00 3.359375000000000e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
336479484784335723496884545853545911564	1.000000000000000e+00 2.000000000000000e+00 2.878524413893480e+00 3.216682324168045e+00 3.384727441389350e+00 3.453125000000002e+00 3.484375000000000e+00 3.500000000000000e+00
211111816465040279206355534676415802612	1.000000000000000e+00 2.000000000000000e+00 2.808566457312362e+00 3.214767382778699e+00 3.390625000000000e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
9426383862566303157670385649912354672	1.000000000000000e+00 2.000000000000000e+00 2.901334449350856e+00 3.290977441389349e+00 3.421875000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
319204026750090509171208013669192639370	1.000000000000000e+00 2.000000000000000e+00 2.840596656297595e+00 3.234375000000001e+00 3.406250000000000e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
7178579688758924490444963015787481593	1.000000000000000e+00 2.000000000000000e+00 2.837546972504132e+00 3.130744824168045e+00 3.296875000000001e+00 3.414062500000001e+00 3.484375000000000e+00 3.500000000000000e+00
322970009789692584920382455779594513692	1.000000000000000e+00 2.000000000000000e+00 2.844732007961508e+00 3.244102441389349e+00 3.421875000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
263802457955572818093202145351743868274	1.000000000000000e+00 2.000000000000000e+00 2.836766773518899e+00 3.205039941389349e+00 3.421875000000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
173291300918554575987066004711720310843	1.000000000000000e+00 2.000000000000000e+00 2.749896340091058e+00 3.175704882778697e+00 3.331954882778696e+00 3.423789941389348e+00 3.484375000000000e+00 3.500000000000000e+00
125959701692220586911274473174240712599	1.000000000000000e+00 2.000000000000000e+00 2.888251855282828e+00 3.234375000000002e+00 3.406250000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
46660991030394937988802581600909315552	1.000000000000000e+00 2.000000000000000e+00 2.786842089725437e+00 3.150199706946741e+00 3.337852441389349e+00 3.414062500000000e+00 3.468750000000000e+00 3.500000000000000e+00
110876125943710703349522082562022508500	1.000000000000000e+00 2.000000000000000e+00 2.732001855282828e+00 3.077972265557394e+00 3.316329882778699e+00 3.445312500000001e+00 3.484375000000000e+00 3.500000000000000e+00
204782770326400127265282962266296305727	1.000000000000000e+00 2.000000000000000e+00 2.673512109829526e+00 3.075904589725436e+00 3.316329882778696e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
112813739374068179627734718043783053812	1.000000000000000e+00 2.000000000000000e+00 2.827039332129551e+00 3.201057324168044e+00 3.384727441389348e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
174559554144098858272067288830588987636	1.000000000000000e+00 2.000000000000000e+00 2.808364648336088e+00 3.228477441389349e+00 3.390625000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
56784098773042067022309439108519475979	1.000000000000000e+00 2.000000000000000e+00 2.905944531114785e+00 3.314414941389351e+00 3.437500000000002e+00 3.460937500000002e+00 3.484375000000000e+00 3.500000000000000e+00
199623450089997663909224952670259618954	1.000000000000000e+00 2.000000000000000e+00 2.719933816937780e+00 3.062347265557394e+00 3.269454882778697e+00 3.406250000000001e+00 3.484375000000000e+00 3.500000000000000e+00
121724585494717253020478884689712468015	1.000000000000000e+00 2.000000000000000e+00 2.708138699716477e+00 3.117034765557394e+00 3.343750000000001e+00 3.421875000000001e+00 3.468750000000000e+00 3.500000000000000e+00
245109410683851549242524795297598243292	1.000000000000000e+00 2.000000000000000e+00 2.852391773518899e+00 3.298789941389349e+00 3.431602441389348e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
327680102524056338718844328509907372743	1.000000000000000e+00 2.000000000000000e+00 2.759421972504133e+00 3.165977441389349e+00 3.369102441389348e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
117129653716723974039234548730728017988	1.000000000000000e+00 2.000000000000000e+00 2.782433816937781e+00 3.189414941389349e+00 3.406250000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
2024719709831618725019802885316064624	1.000000000000000e+00 2.000000000000000e+00 2.821921972504132e+00 3.208869824168045e+00 3.406250000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.500000000000000e+00
79051090014851220205348844849597837794	1.000000000000000e+00 2.000000000000000e+00 2.778096656297595e+00 3.193244824168044e+00 3.353477441389348e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
40371490458913402204584866340545134742	1.000000000000000e+00 2.000000000000000e+00 2.916959449350856e+00 3.328125000000000e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
281892886312894620032521210172495954483	1.000000000000000e+00 2.000000000000000e+00 2.812194531114786e+00 3.179534765557392e+00 3.353477441389348e+00 3.445312500000000e+00 3.484375000000000e+00 3.500000000000000e+00
